the,63987613425
and,22717821843
ing,63886872
ion,52671164
tio,16904147
ent,691663933
ati,1655715
for,8878746846
her,2429181664
ter,642706627
hat,116914339
tha,9310286075
ere,40514843
ate,14936723
his,4100480589
con,6942160205
res,2488030143
ver,1103682718
all,2582558510
ons,18171816
nce,394733
men,765862023
ith,6125118
ted,14573099
ers,6674105
pro,5633112117
thi,5114570141
wit,6176653262
are,4060992854
ess,202751790
not,5336001757
ive,3128389
was,5713507642
ect,4012024
rea,1859223365
com,4457415675
eve,1832089158
per,2734386903
int,3559090225
est,516562722
sta,2930984458
cti,294738
ica,2764660
ist,17840454
ear,705618706
ain,4468168
one,2234711520
our,935106981
iti,4618992
rat,749521827
nte,112769
tin,64420854
ine,113758662
der,206974792
ome,7223284
man,2234939882
pre,2821774724
rom,203236654
tra,1775754410
whi,4021664321
ave,186442342
str,1783306369
act,1281272932
ill,317410421
ure,14066033
ide,601317443
ove,1041642009
cal,906162494
ble,101033603
out,1540556395
sti,628619442
tic,27989948
oun,10546017
enc,219984954
ore,31786653
ant,379404315
ity,1294199
fro,3684896773
art,598644596
tur,456163716
par,2492576788
red,411159370
oth,1742129533
eri,26570597
hic,7434971
ies,897266
ste,604164406
ght,147981
ich,5468952
igh,331624
und,1229950815
you,3510910163
ort,32769330
era,50416014
wer,2283987356
nti,390874
oul,729519
nde,570667
ind,1760202301
tho,1724145451
hou,715667739
nal,2176199
but,2883520821
hav,3057636533
uld,101019
use,1289357279
han,713576948
hin,82877246
een,1894674
ces,16720344
cou,2583798072
lat,684692879
tor,120015084
ese,815363
age,468522956
ame,620512946
rin,68354365
anc,135285941
ten,480083911
hen,197008390
min,964642724
eas,440157414
can,2057172987
lit,700727735
cha,2255205514
ous,3912364
eat,87077069
end,570698077
ssi,741062
ial,251335
les,519511115
ren,222262040
tiv,2888362
nts,826110
whe,2679431049
tat,14068788
abl,190404924
dis,2611030000
ran,354187183
wor,2460048594
rou,276970153
lin,633597119
had,2625457897
sed,48381764
ont,55222233
ple,271377318
ugh,415780
inc,1455451993
sio,6861147
din,78567264
ral,25632520
ust,1248107
tan,91192292
nat,1108157262
ins,1355396206
ass,1102731334
pla,1909795103
ven,158031483
ell,47516428
she,1685828461
ose,237835
ite,95155464
lly,114050
rec,1425396021
lan,681241250
ard,16407695
hey,11557803
rie,5351826
pos,1151995963
eme,111630550
mor,2064314228
den,282353447
oug,57513956
tte,204815
ned,4758234
rit,49446263
ime,461469
sin,807424263
ast,76302074
any,1226352282
orm,2622656
ndi,142854
ona,1015343
spe,1324239946
ene,261050016
hei,110152651
ric,235883873
ice,49501186
ord,603543178
omp,0
nes,30225432
sen,800052153
tim,1490045138
tri,499704212
ern,15485530
tes,334774080
por,317003668
app,1762161282
lar,570315295
ntr,0
eir,891452
sho,2045775766
son,274809322
cat,386895657
lle,1241402
ner,90154763
hes,34999637
who,2157876969
mat,815617751
ase,5543454
kin,622503844
ost,23292041
ber,142733793
its,1592791247
nin,126672081
lea,1291614777
ina,96339119
mpl,743895
sto,897080221
ari,150883289
pri,1451855921
own,653078825
ali,143384098
ree,45389615
ish,4482696
des,1328834043
ead,921721
nst,157737
sit,422450331
ses,61193521
ans,204363848
has,1685680063
gre,1190013773
ong,11160369
als,1049246023
fic,39060012
ual,284087
ien,148019
gen,1179453949
ser,975075060
unt,335954740
eco,412140948
nta,203297
ace,24657549
chi,1107892144
fer,118691491
tal,290418075
low,387386960
ach,149526571
ire,44131087
ang,239298646
sse,360866
gra,963570889
mon,767563228
ffe,0
rac,153815266
sel,546600571
uni,1218114117
ake,905986
ary,5920413
wil,1901854778
led,114255741
ded,62062384
som,1807115973
owe,34046822
har,607269469
ini,159165757
ope,697975040
nge,0
uch,494141
rel,1339485588
che,448182130
ade,73307773
att,953813377
cia,6430224
exp,1831163397
mer,345668471
lic,56173044
hem,52835657
ery,8033593
nsi,108995
ond,1510008
rti,144472
duc,43625892
how,1186916161
ert,418411
see,1743810437
now,698813627
imp,1451935466
abo,1406639083
pec,58027139
cen,820198788
ris,261520068
mar,1308329398
ens,76725442
tai,58977906
ely,3787494
omm,0
sur,826159401
hea,1411374226
ula,1186689
ult,80346108
ili,6521582
bee,1684651198
ork,1230534
lis,257964768
nit,42381453
ori,338896871
thr,1566822483
ath,53904983
vel,53660236
tie,64721554
ani,179096831
cul,323098140
hil,122534580
tem,333569343
ria,1838788
tre,657543443
ivi,401121
ves,103938464
pen,238584039
cre,590824288
oll,803712
ele,657407582
lon,878794665
war,651972051
equ,494660296
tro,226233706
eal,477296
rep,1309722063
eli,155504846
ian,5558977
sid,334902687
ise,1652468
erv,783065
tru,576501909
ile,3419920
que,554192771
him,1499040809
med,439468388
wou,1530096795
fin,1077194838
uct,115033
old,464131027
ood,383705
cor,795575242
new,1307257519
eac,601544118
erm,1277479
fac,1045268061
bou,225292432
ack,57803187
suc,1450562571
edi,217508825
nto,149316
car,1237846450
oli,37009473
nly,0
mil,610825458
eed,197327
way,684143879
rop,18333121
ita,104792588
eth,135892398
eci,106196
uti,76754553
may,1404628615
ici,2765784
wha,1337221482
rma,332308
ara,71248084
qui,430297670
rem,832064503
mbe,521979
fte,469088
rst,536490
ved,8523638
cte,343992
nds,377464
fir,1245077772
lie,143229165
met,674170745
ook,285882
mos,976830851
mes,142121711
acc,1267703052
vin,49248256
gin,18370558
ete,36884956
rge,0
oin,2585852
arr,343873842
hol,434922135
ign,87616474
sec,1171380485
pon,41755954
esi,364734
tly,0
emp,595545688
sis,73559178
ied,270808
ote,578397
rth,220184
mal,212746972
col,1126523740
dit,14772983
bli,63370372
ron,14698872
ges,38567204
shi,320438158
cie,3082665
atu,340825
ret,532339910
ger,270494151
ref,755483299
olo,343333
aus,122675324
rch,0
lac,142576159
llo,11363199
tle,253768
tit,120676840
ifi,659820
hos,190689232
bec,1218929657
pea,258761846
ece,295765
lli,160963
onc,272405577
rce,0
ful,340103368
gro,1079023916
ors,2213343
las,389773447
rio,24782386
ars,11715089
ced,10290296
win,442410135
onl,1152371497
vid,33570083
ngs,140167
iou,391863
ory,800024
cle,489520564
lec,47880277
itt,840603
uri,30523803
oss,4796574
rta,313836
cer,496466580
pol,1001926052
nis,6361811
arl,3768962
ext,683072486
hed,14077645
ppe,194110
isi,4234295
